type,frame,crop_path,class,conf,x1,y1,x2,y2
fp,252,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000252_0016.jpg,bottle,0.4294,698,194,948,518
fp,252,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000252_0017.jpg,can,0.2007,666,26,866,251
fp,252,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000252_0018.jpg,bottle,0.1818,668,28,864,251
fp,252,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000252_0019.jpg,bottle,0.1805,677,22,946,523
fp,256,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000256_0020.jpg,bottle,0.2589,722,27,920,249
fp,256,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000256_0021.jpg,bottle,0.1641,721,20,984,516
fp,260,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000260_0022.jpg,bottle,0.4794,805,197,1048,519
fp,260,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000260_0023.jpg,can,0.3472,777,24,977,253
fp,260,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000260_0024.jpg,bottle,0.2935,778,28,977,253
fp,260,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000260_0025.jpg,bottle,0.1578,795,22,1039,523
fp,264,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000264_0026.jpg,bottle,0.3618,824,28,1024,249
fp,264,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000264_0027.jpg,bottle,0.2823,864,202,1079,490
fp,264,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000264_0028.jpg,bottle,0.2431,846,21,1079,492
fn,264,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000264_0011.jpg,unknown,,0,195,23,423
fp,268,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000268_0029.jpg,bottle,0.3098,925,213,1079,516
fp,268,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000268_0030.jpg,bottle,0.2105,904,25,1079,491
fn,268,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000268_0012.jpg,unknown,,0,511,46,580
fp,272,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000272_0031.jpg,bottle,0.3115,930,26,1079,255
fp,272,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000272_0032.jpg,can,0.2640,931,30,1079,261
fn,272,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000272_0013.jpg,unknown,,0,501,67,579
fp,276,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000276_0033.jpg,can,0.2547,0,168,141,377
fn,276,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000276_0014.jpg,unknown,,0,501,104,578
fn,276,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000276_0015.jpg,unknown,,32,73,132,122
fp,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000280_0034.jpg,can,0.4213,65,163,205,377
fp,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000280_0035.jpg,can,0.3142,137,167,202,376
fp,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000280_0036.jpg,bottle,0.2497,1038,64,1079,247
fp,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000280_0037.jpg,can,0.1614,34,381,203,525
fn,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000280_0016.jpg,unknown,,72,514,166,578
fn,280,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000280_0017.jpg,unknown,,92,77,188,132
fn,284,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000284_0018.jpg,unknown,,142,507,223,580
fn,284,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000284_0019.jpg,unknown,,146,82,265,145
fn,288,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000288_0020.jpg,unknown,,200,507,279,580
fn,288,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000288_0021.jpg,unknown,,205,71,326,136
fn,292,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000292_0022.jpg,unknown,,242,504,325,579
fp,296,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000296_0038.jpg,can,0.3214,270,162,413,383
fp,296,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000296_0039.jpg,can,0.1534,267,69,413,566
fn,296,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000296_0023.jpg,unknown,,281,501,360,577
fp,300,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000300_0040.jpg,can,0.4307,322,159,461,408
fp,300,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000300_0041.jpg,can,0.2669,299,396,450,576
fn,300,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000300_0024.jpg,unknown,,330,507,405,577
fp,304,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000304_0042.jpg,can,0.4188,372,162,508,420
fn,304,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000304_0025.jpg,unknown,,380,500,456,577
fn,304,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000304_0026.jpg,unknown,,377,69,504,153
fn,308,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000308_0027.jpg,unknown,,428,500,505,577
fn,308,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000308_0028.jpg,unknown,,412,149,563,468
fn,308,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000308_0029.jpg,unknown,,466,74,542,125
fn,308,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000308_0030.jpg,unknown,,430,69,470,152
fp,312,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000312_0043.jpg,can,0.2598,469,163,611,422
fn,312,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000312_0031.jpg,unknown,,480,501,558,576
fp,316,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000316_0044.jpg,can,0.1606,521,162,664,421
fn,316,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000316_0032.jpg,unknown,,531,507,600,576
fn,320,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000320_0033.jpg,unknown,,584,507,654,576
fn,320,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000320_0034.jpg,unknown,,572,159,722,482
fp,324,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000324_0045.jpg,can,0.1963,625,161,772,430
fn,324,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000324_0035.jpg,unknown,,633,506,708,575
fp,328,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000328_0046.jpg,can,0.3359,675,161,824,426
fn,328,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000328_0036.jpg,unknown,,682,507,759,575
fn,328,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000328_0037.jpg,unknown,,0,196,27,433
fp,332,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000332_0047.jpg,can,0.4295,726,160,876,423
fn,332,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000332_0038.jpg,unknown,,731,499,822,574
fn,332,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000332_0039.jpg,unknown,,762,79,867,123
fp,336,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000336_0048.jpg,can,0.4186,0,160,137,453
fp,348,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000348_0049.jpg,can,0.4023,938,156,1079,407
fp,348,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000348_0050.jpg,can,0.3927,1036,266,1079,370
fp,352,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000352_0051.jpg,can,0.3966,993,98,1079,420
fn,352,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000352_0040.jpg,unknown,,1001,446,1079,573
fn,356,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000356_0041.jpg,unknown,,1035,165,1079,436
fp,376,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000376_0052.jpg,can,0.3168,578,172,741,460
fp,380,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000380_0053.jpg,can,0.3948,647,175,813,463
fp,380,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000380_0054.jpg,bottle,0.2822,648,173,811,461
fp,392,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000392_0055.jpg,bottle,0.3918,847,176,1016,467
fp,392,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000392_0056.jpg,can,0.2552,851,177,1020,469
fp,396,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000396_0057.jpg,bottle,0.4295,908,180,1077,471
fp,396,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000396_0058.jpg,can,0.3350,911,181,1079,470
fp,404,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000404_0059.jpg,can,0.2079,1046,193,1079,464
fn,456,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000456_0042.jpg,unknown,,0,502,94,556
fn,480,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000480_0043.jpg,unknown,,0,508,46,591
fn,484,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000484_0044.jpg,unknown,,0,502,96,601
fn,488,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000488_0045.jpg,unknown,,0,507,127,601
fn,492,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000492_0046.jpg,unknown,,0,508,123,601
fn,496,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000496_0047.jpg,unknown,,0,507,96,600
fn,500,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000500_0048.jpg,unknown,,0,507,116,597
fn,504,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000504_0049.jpg,unknown,,24,510,132,590
fn,508,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000508_0050.jpg,unknown,,25,507,125,590
fn,512,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000512_0051.jpg,unknown,,16,505,85,562
fp,536,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000536_0060.jpg,bottle,0.4080,0,235,84,364
fp,540,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000540_0061.jpg,can,0.3105,2,240,156,365
fn,540,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000540_0052.jpg,unknown,,29,458,112,495
fp,544,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000544_0062.jpg,bottle,0.3077,62,238,220,369
fp,544,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000544_0063.jpg,can,0.3060,63,237,220,369
fn,544,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000544_0053.jpg,unknown,,96,460,171,497
fp,548,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000548_0064.jpg,can,0.3207,106,238,263,369
fn,548,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000548_0054.jpg,unknown,,140,459,215,495
fp,552,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000552_0065.jpg,can,0.1797,132,233,294,363
fp,552,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000552_0066.jpg,bottle,0.1687,132,233,293,366
fn,552,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000552_0055.jpg,unknown,,169,463,237,493
fp,556,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000556_0067.jpg,can,0.2254,156,231,319,361
fn,556,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000556_0056.jpg,unknown,,194,460,264,491
fp,560,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000560_0068.jpg,bottle,0.3446,179,227,341,361
fp,560,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000560_0069.jpg,can,0.1993,180,226,340,358
fn,560,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000560_0057.jpg,unknown,,217,457,285,488
fp,564,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000564_0070.jpg,can,0.3619,208,222,357,359
fp,564,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000564_0071.jpg,bottle,0.3281,205,222,358,364
fn,564,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000564_0058.jpg,unknown,,241,455,307,486
fp,568,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000568_0072.jpg,can,0.3430,242,220,389,353
fp,568,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000568_0073.jpg,bottle,0.1760,242,222,390,357
fn,568,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000568_0059.jpg,unknown,,276,453,338,484
fp,572,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000572_0074.jpg,can,0.3670,310,222,456,355
fn,572,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000572_0060.jpg,unknown,,343,454,409,485
fp,576,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000576_0075.jpg,bottle,0.4482,389,230,541,358
fp,576,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000576_0076.jpg,bottle,0.2379,382,28,546,359
fn,576,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000576_0061.jpg,unknown,,422,449,482,488
fp,580,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000580_0077.jpg,can,0.3806,467,230,621,359
fp,580,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000580_0078.jpg,bottle,0.1801,468,232,621,359
fn,580,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000580_0062.jpg,unknown,,500,445,560,489
fp,584,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000584_0079.jpg,can,0.1776,544,190,697,363
fp,584,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fp_crops/fp_frame000584_0080.jpg,bottle,0.1568,543,28,701,361
fn,584,/Users/leoshaw/Documents/VSCode/VS_CMU_S26/MechatronicDesign/Computer Vision/error_mining_run1/review/fn_crops/fn_frame000584_0063.jpg,unknown,,575,446,636,491
